player=0,SET:ACEF
player=1,SET:AEFG
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,E
player=0,MOV:A,N
player=1,MOV:C,E
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:B,W
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,E
player=1,MOV:C,N
player=0,MOV:B,E
player=1,MOV:C,N
player=0,MOV:B,W
player=1,MOV:C,E
player=0,MOV:B,E
player=1,MOV:C,N
player=0,MOV:B,W
player=1,MOV:D,N
player=0,MOV:B,E
player=1,MOV:E,N
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:F,N
player=0,MOV:D,S
player=1,MOV:F,N
player=0,MOV:B,S
player=1,MOV:F,N
player=0,MOV:B,N
player=1,MOV:F,W
player=0,MOV:B,W
player=1,MOV:F,W
player=0,MOV:B,N
player=1,MOV:F,N
player=0,MOV:B,N
player=1,MOV:F,N
player=0,MOV:H,E
player=1,MOV:G,N
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,E
player=1,MOV:A,S
