player=0,SET:CFGH
player=1,SET:ADEH
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:D,E
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:G,E
player=1,MOV:D,N
player=0,MOV:D,N
player=1,MOV:D,N
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:A,N
player=1,MOV:E,N
player=0,MOV:D,S
player=1,MOV:E,N
player=0,MOV:D,N
player=1,MOV:E,N
player=0,MOV:D,N
player=1,MOV:E,N
player=0,MOV:D,N
player=1,MOV:E,W
player=0,MOV:D,E
winner=0
