player=0,SET:ADFG
player=1,SET:ADEH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:C,E
player=1,MOV:D,N
player=0,MOV:B,E
player=1,MOV:D,N
player=0,MOV:E,W
player=1,MOV:D,N
player=0,MOV:B,E
player=1,MOV:D,N
player=0,MOV:F,W
player=1,MOV:E,N
player=0,MOV:C,E
player=1,MOV:E,N
player=0,MOV:C,N
player=1,MOV:E,N
player=0,MOV:C,N
player=1,MOV:E,N
player=0,MOV:C,N
player=1,MOV:E,N
player=0,MOV:C,N
player=1,MOV:E,W
player=0,MOV:C,E
winner=0
