player=1,SET:BDEH
player=0,SET:AEGH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,E
player=0,MOV:A,E
player=1,MOV:A,E
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:D,E
player=1,MOV:A,S
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:E,N
player=1,MOV:A,S
player=0,MOV:E,N
player=1,MOV:A,W
player=0,MOV:E,N
player=1,MOV:A,W
player=0,MOV:E,E
player=1,MOV:C,N
player=0,MOV:C,E
player=1,MOV:A,E
player=0,MOV:C,N
player=1,MOV:C,N
player=0,MOV:C,E
player=1,MOV:C,E
player=0,MOV:F,N
player=1,MOV:C,S
player=0,MOV:F,W
player=1,MOV:A,N
player=0,MOV:G,N
player=1,MOV:A,E
player=0,MOV:G,N
player=1,MOV:A,E
player=0,MOV:F,N
player=1,MOV:C,N
player=0,MOV:G,W
player=1,MOV:C,S
player=0,MOV:G,N
player=1,MOV:C,N
player=0,MOV:G,N
player=1,MOV:B,E
player=0,MOV:C,N
player=1,MOV:C,S
player=0,MOV:C,N
player=1,MOV:C,N
player=0,MOV:D,N
player=1,MOV:C,S
player=0,MOV:B,N
player=1,MOV:C,W
player=0,MOV:H,N
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,E
player=0,MOV:B,S
player=1,MOV:B,N
player=0,MOV:H,N
player=1,MOV:C,E
player=0,MOV:B,S
player=1,MOV:B,N
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:C,E
winner=0
