player=0,SET:CDGH
player=1,SET:AEFH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,E
player=1,MOV:A,N
player=0,MOV:A,W
player=1,MOV:A,W
player=0,MOV:A,E
player=1,MOV:A,N
player=0,MOV:A,E
player=1,MOV:A,N
player=0,MOV:A,E
player=1,MOV:B,N
player=0,MOV:A,E
player=1,MOV:B,N
player=0,MOV:C,N
player=1,MOV:C,N
player=0,MOV:C,N
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:B,W
player=1,MOV:H,N
player=0,MOV:C,N
player=1,MOV:G,N
player=0,MOV:C,E
player=1,MOV:H,N
player=0,MOV:A,N
player=1,MOV:A,E
player=0,MOV:A,N
player=1,MOV:A,E
player=0,MOV:A,N
player=1,MOV:A,E
player=0,MOV:A,E
winner=0
