player=0,SET:ABDE
player=1,SET:ACDF
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:H,E
player=0,MOV:A,E
player=1,MOV:G,N
player=0,MOV:D,N
player=1,MOV:B,W
player=0,MOV:D,N
player=1,MOV:B,W
player=0,MOV:D,N
player=1,MOV:E,N
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:G,E
player=0,MOV:B,W
player=1,MOV:G,E
player=0,MOV:B,W
player=1,MOV:G,N
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:H,N
player=1,MOV:B,S
player=0,MOV:E,N
player=1,MOV:E,W
player=0,MOV:E,N
player=1,MOV:B,N
player=0,MOV:E,W
player=1,MOV:G,S
player=0,MOV:E,N
player=1,MOV:F,N
player=0,MOV:E,N
player=1,MOV:H,W
player=0,MOV:E,N
player=1,MOV:B,N
player=0,MOV:H,E
player=1,MOV:E,N
player=0,MOV:E,E
player=1,MOV:E,E
player=0,MOV:E,W
player=1,MOV:E,N
player=0,MOV:C,E
winner=0
