player=1,SET:BDEG
player=0,SET:BDFH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,S
player=0,MOV:D,N
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:F,W
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:B,N
player=0,MOV:H,W
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:C,E
player=0,MOV:B,N
player=1,MOV:C,W
player=0,MOV:H,N
player=1,MOV:F,N
player=0,MOV:H,W
player=1,MOV:H,E
player=0,MOV:H,S
player=1,MOV:C,E
player=0,MOV:H,S
player=1,MOV:C,W
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:E,N
player=1,MOV:A,N
player=0,MOV:G,E
player=1,MOV:A,S
player=0,MOV:E,W
player=1,MOV:C,E
player=0,MOV:C,N
player=1,MOV:D,E
player=0,MOV:E,S
player=1,MOV:F,W
player=0,MOV:G,N
player=1,MOV:D,N
player=0,MOV:A,S
player=1,MOV:D,N
player=0,MOV:C,E
player=1,MOV:C,N
player=0,MOV:F,N
player=1,MOV:H,N
player=0,MOV:F,N
player=1,MOV:C,S
player=0,MOV:A,E
player=1,MOV:D,N
player=0,MOV:E,E
player=1,MOV:D,N
player=0,MOV:E,W
winner=1
