player=0,SET:BCFG
player=1,SET:ABCE
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,E
player=0,MOV:A,N
player=1,MOV:C,E
player=0,MOV:D,N
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:F,W
player=0,MOV:E,N
player=1,MOV:A,N
player=0,MOV:E,N
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:B,N
player=0,MOV:E,N
player=1,MOV:H,N
player=0,MOV:H,N
player=1,MOV:B,N
player=0,MOV:H,N
player=1,MOV:H,N
player=0,MOV:H,N
player=1,MOV:B,W
player=0,MOV:H,N
player=1,MOV:F,N
winner=1
