player=0,SET:ADEH
player=1,SET:CDEH
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,N
player=1,MOV:C,N
player=0,MOV:A,N
player=1,MOV:C,N
player=0,MOV:A,N
player=1,MOV:G,E
player=0,MOV:D,N
player=1,MOV:C,E
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,N
player=1,MOV:B,W
player=0,MOV:E,N
player=1,MOV:A,N
player=0,MOV:E,N
player=1,MOV:B,W
player=0,MOV:E,N
player=1,MOV:E,N
player=0,MOV:E,N
player=1,MOV:G,N
player=0,MOV:H,N
player=1,MOV:G,N
player=0,MOV:H,N
player=1,MOV:B,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,N
winner=1
