player=0,SET:BDFH
player=1,SET:ABGH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,E
player=0,MOV:A,N
player=1,MOV:C,E
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,W
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:B,W
player=1,MOV:H,N
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:H,E
player=1,MOV:C,E
player=0,MOV:C,E
player=1,MOV:B,W
player=0,MOV:C,E
player=1,MOV:B,N
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:D,E
player=1,MOV:B,N
player=0,MOV:E,N
player=1,MOV:B,N
player=0,MOV:E,N
player=1,MOV:H,N
player=0,MOV:E,W
player=1,MOV:C,N
player=0,MOV:F,W
player=1,MOV:C,N
player=0,MOV:G,N
player=1,MOV:H,N
player=0,MOV:G,N
player=1,MOV:H,N
player=0,MOV:G,N
player=1,MOV:H,N
player=0,MOV:C,N
player=1,MOV:E,W
player=0,MOV:G,E
player=1,MOV:C,N
player=0,MOV:G,N
player=1,MOV:C,E
winner=1
