player=0,SET:ABCD
player=1,SET:ADEF
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,N
player=1,MOV:G,E
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:H,E
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:B,W
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,N
player=0,MOV:D,E
player=1,MOV:G,N
player=0,MOV:B,N
player=1,MOV:F,E
player=0,MOV:C,N
player=1,MOV:G,E
player=0,MOV:C,N
player=1,MOV:E,N
player=0,MOV:C,N
player=1,MOV:E,N
player=0,MOV:C,N
player=1,MOV:F,W
player=0,MOV:D,N
player=1,MOV:E,N
player=0,MOV:D,N
player=1,MOV:E,N
player=0,MOV:D,N
player=1,MOV:E,N
player=0,MOV:G,E
player=1,MOV:G,N
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
winner=2
