player=1,SET:ABEH
player=0,SET:CFGH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:E,W
player=1,MOV:A,W
player=0,MOV:F,N
player=1,MOV:C,S
player=0,MOV:F,N
player=1,MOV:B,E
player=0,MOV:F,W
player=1,MOV:D,E
player=0,MOV:F,W
player=1,MOV:D,W
player=0,MOV:F,N
player=1,MOV:D,N
player=0,MOV:F,N
player=1,MOV:A,N
player=0,MOV:F,N
player=1,MOV:D,E
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,N
player=1,MOV:C,E
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:E,E
player=1,MOV:D,N
player=0,MOV:F,E
player=1,MOV:B,N
player=0,MOV:E,E
player=1,MOV:D,N
player=0,MOV:F,E
player=1,MOV:D,E
winner=1
